Real Madrid,Spain,2.97
Barcelona,Spain,3.05
Atletico Madrid,Spain,2.91
Bayern Munich,Germany,2.86
Juventus,Italy,2.85
Sevilla,Spain,2.31
PSG,France,2.89
Manchester City,England,2.99
Arsenal,England,2.71
Borussia Dortmund,Germany,2.63
Porto,Portugal,2.38
Shakhtar Donetsk,Ukraine,1.97
Napoli,Italy,2.67
Zenit,Russia,2.14
Roma,Italy,2.54
Manchester United,England,2.88
Chelsea,England,2.9
Villarreal,Spain,2.25
Liverpool,England,2.91
Monaco,France,2.43
Besiktas,Turkey,1.91
Tottenham,England,2.88
Bayer Leverkusen,Germany,2.56
Dynamo Kiev,Ukraine,1.78
Benfica,Portugal,2.4
Schalke,Germany,2.38
Basel,Switzerland,1.68
Lyon,France,2.53
Wolfsburg,Germany,2.15
Anderlecht,Belgium,1.82
Athletic Bilbao,Spain,2.27
Fiorentina,Italy,2.34